#    RA       DEC        EXPTIME   E(B-V)   HOURANGLE AIRMASS
    2.1801   17.4175    0.9985    0.0983    1.4000    1.0937
    2.1419   18.6286    1.0911    0.1160    1.2667    1.0760
    2.2729   17.4541    1.0864    0.1142    1.2667    1.0821
    2.2353   18.6689    1.2733    0.1439    1.0667    1.0614
    2.4023   16.2615    1.7674    0.1987    0.6667    1.0522
    2.3658   17.4798    1.5137    0.1725    0.9333    1.0590
    2.3289   18.6971    1.7007    0.1942    0.7333    1.0432
    2.2914   19.9142    1.5949    0.1836    0.8667    1.0443
    2.2533   21.1311    1.4563    0.1692    0.9333    1.0430
    2.5301   15.0533    1.6685    0.1882    0.6667    1.0589
    2.4947   16.2745    2.4282    0.2520    0.2000    1.0398
    2.4590   17.4942    2.6944    0.2699    0.0000    1.0327
    2.4228   18.7131    2.1753    0.2359    0.4000    1.0319
    2.3860   19.9322    1.7751    0.2026    0.6667    1.0352
    2.3485   21.1522    1.2979    0.1373    1.8000    1.1159
    2.3102   22.3726    1.1773    0.1195    1.9333    1.1264
    2.6564   13.8314    1.2735    0.1305    1.6000    1.1373
    2.6221   15.0549    1.4699    0.1588    1.4000    1.1080
    2.5875   16.2763    1.7719    0.1986    0.7333    1.0550
    2.5525   17.4965    1.9828    0.2193    0.5333    1.0411
    2.5170   18.7163    1.4981    0.1635    1.5333    1.0994
    2.4809   19.9366    1.4061    0.1531    1.6000    1.0999
    2.4441   21.1580    1.3903    0.1511    1.6667    1.1010
    2.4065   22.3814    1.2509    0.1322    1.8000    1.1103
    2.3680   23.6059    1.0575    0.0999    2.0667    1.1384
    2.7479   13.8231    1.1515    0.1140    1.6000    1.1374
    2.7144   15.0454    1.1701    0.1168    1.6667    1.1362
    2.6805   16.2661    1.1471    0.1150    1.6667    1.1280
    2.6463   17.4860    1.0506    0.0992    1.8000    1.1361
    2.6115   18.7060    1.0519    0.1007    1.8000    1.1288
    2.5762   19.9267    1.1920    0.1223    1.8000    1.1221
    2.5401   21.1490    1.2825    0.1392    1.6000    1.0942
    2.5032   22.3734    1.4371    0.1586    1.6000    1.0890
    2.4654   23.6007    1.2075    0.1287    1.7333    1.0980
    2.4266   24.8296    1.0418    0.0998    2.0000    1.1246
    2.7405   17.4620    1.0149    0.0949    1.7333    1.1282
    2.7065   18.6813    0.9607    0.0857    1.8000    1.1290
    2.6719   19.9019    1.0328    0.0988    1.8000    1.1222
    2.6365   21.1244    1.3009    0.1402    1.6667    1.1012
    2.6004   22.3494    1.5163    0.1706    1.4000    1.0708
    2.5633   23.5773    1.3719    0.1530    1.5333    1.0781
    2.5253   24.8091    1.1887    0.1256    1.8000    1.1009
    2.4862   26.0428    1.0600    0.1048    1.9333    1.1121
    2.7334   21.0834    1.4745    0.1641    1.4667    1.0817
    2.6980   22.3084    1.6829    0.1902    1.2000    1.0554
    2.6618   23.5368    1.5318    0.1720    1.4667    1.0722
    2.6245   24.7689    1.4440    0.1609    1.6000    1.0804
    2.5862   26.0054    1.2534    0.1362    1.7333    1.0899
    2.5466   27.2442    1.1908    0.1272    1.8000    1.0935
    2.7242   24.7104    1.7058    0.1920    1.3333    1.0576
    2.6867   25.9473    1.4794    0.1676    1.4667    1.0650
    2.6481   27.1889    1.2504    0.1376    1.6667    1.0800
    2.6081   28.4331    1.1823    0.1278    1.7333    1.0838
    2.7500   27.1116    1.2358    0.1368    1.6000    1.0739
    2.7110   28.3586    1.3134    0.1472    1.6000    1.0712
    2.6706   29.6085    1.4384    0.1634    1.5333    1.0632
    2.7749   29.5140    1.4910    0.1712    1.4000    1.0525
    2.7341   30.7697    1.7186    0.1953    1.3333    1.0462
    2.8400   30.6544    1.7730    0.2020    1.2000    1.0373
    2.7987   31.9163    1.8157    0.2060    1.2000    1.0365
    2.8645   33.0475    1.2843    0.1466    1.4667    1.0548
   -0.0000   31.7175    0.6792    0.0511    0.3333    1.0028
   12.0000   31.7175    0.5801    0.0202   -0.9333    1.0219
   18.0000   58.2825    0.8233    0.0461    2.2000    1.2130
   12.0000   69.0948    0.7480    0.0159   -1.4667    1.2899
    1.3937    0.0000    0.7655    0.0337    0.9333    1.2144
    9.0000   35.2644    0.6718    0.0303   -2.0000    1.1043
   13.3937    0.0000    0.7054    0.0259    0.0000    1.1784
   15.0000   35.2644    0.5713    0.0132    1.0667    1.0293
   22.6063    0.0000    0.8905    0.0629   -0.5333    1.1899
   10.6063    0.0000    0.9025    0.0634   -0.7333    1.2004
    7.2486   60.7239    0.9028    0.0615   -1.9333    1.2126
    7.6885   59.9259    0.8978    0.0562   -2.3333    1.2401
    7.5459   60.7222    0.9289    0.0626   -2.2000    1.2350
    7.3935   61.4819    0.9342    0.0650   -2.0000    1.2256
    7.8423   60.5733    0.9043    0.0543   -2.4667    1.2595
    7.6985   61.4064    0.9259    0.0591   -2.3333    1.2540
    7.5443   62.2027    0.9350    0.0614   -2.2000    1.2498
    8.2609   59.3508    0.9423    0.0698   -2.0000    1.2048
    8.1352   60.2786    1.0176    0.0828   -1.8667    1.2032
    8.0008   61.1798    1.0588    0.0794   -2.4667    1.2651
    7.8566   62.0502    0.9241    0.0557   -2.4667    1.2735
    7.7015   62.8844    0.9309    0.0576   -2.3333    1.2691
    8.5385   58.8559    1.1147    0.0973   -2.0667    1.2060
    8.4223   59.8418    1.0418    0.0856   -2.0000    1.2094
    8.2979   60.8053    1.0131    0.0795   -2.0000    1.2187
    8.1645   61.7433    1.0218    0.0706   -2.6000    1.2846
    8.0207   62.6516    0.9500    0.0583   -2.5333    1.2864
